region_type,starts,ends
skip,0,524410
skip,686890,1490890
skip,1900350,2187230
skip,2350440,2912500
skip,2997430,3282670
skip,3327410,3635330
skip,4073890,4302700
skip,4569010,5181690
skip,5259740,6155130
skip,6248380,6533550
skip,6797620,7018410
skip,8931190,9242810
skip,9300620,9634550
skip,9645190,10853060
silence,9991520,10812940
skip,16095200,16710320
skip,17582470,17878010
skip,20821950,23327800
silence,22691390,23011040
skip,33895550,34221220
skip,34374820,57599990
silence,34926230,57599990
