region_type,starts,ends
skip,654740,701620
skip,705220,742370
skip,953710,1011420
skip,2001750,2085580
skip,2181940,2280910
skip,2502590,2579380
skip,2625000,2671070
skip,2675010,3117990
skip,3119410,3622330
skip,3625520,4030330
skip,4150220,4769430
silence,4769430,6470360
skip,6470360,6998820
skip,7977420,8223800
skip,8345450,8809800
skip,8873160,10021140
skip,10064350,10326180
skip,10331600,10404190
silence,12131420,12176940
silence,12599280,12805610
skip,13952940,14008270
skip,14533610,14587250
skip,14588960,14713650
skip,14726780,14798470
skip,14857410,15014860
skip,16515330,17650840
skip,18089170,18482870
skip,18634560,18703010
skip,18754650,18986230
skip,19123920,19204420
skip,19341070,19583990
skip,19687490,22516660
silence,20084490,22455640
skip,22581540,22821230
skip,24235610,25090320
skip,25584130,33106960
silence,26589790,28323500
silence,28387180,28841100
silence,28861800,30614650
silence,30921840,31234160
silence,31392560,31571050
skip,34242300,34342880
skip,34357350,36181480
skip,38013860,38476550
skip,38483350,38623890
skip,38965360,39241950
skip,43418900,43568880
skip,43576630,43815470
skip,44626020,45116470
skip,47178810,47426830
skip,47434170,47971170
skip,48331930,48508260
skip,48578510,48764020
silence,49529580,57599990
