region_type,starts,ends
makeup,343080,954920
surplus,954920,3147340
subregion,3900000,7500000
silence,7205260,7500000
subregion,15600000,19200000
surplus,19617850,30134350
subregion,30300000,33900000
subregion,39300000,42900000
silence,42573040,42900000
