region_type,starts,ends
subregion,1200000,4800000
subregion,5100000,8700000
makeup,9600000,10398410
silence,9953260,10324120
subregion,22200000,25800000
skip,24996740,25800000
silence,25597800,25800000
subregion,39300000,42900000
