region_type,starts,ends
skip,177600,190060
skip,296760,354520
skip,714460,758370
skip,1503720,1531720
skip,1562220,1613320
skip,2254970,2281020
skip,2779080,2797770
skip,11092270,11147100
skip,11170980,11322140
skip,11628770,11705470
skip,12151520,12309900
skip,12335370,12486560
skip,13078630,13158930
skip,13271570,13514550
skip,13589530,13940330
skip,13994210,14079540
skip,14089640,14176660
skip,14183270,14235870
skip,14466390,14520960
skip,14558410,14638690
skip,14707140,14756520
skip,14836360,15328420
skip,15365080,15980080
skip,15985170,16732710
skip,18163640,20940380
skip,21231780,21391910
skip,23141460,23477220
skip,23628160,23962160
skip,23980980,24223990
skip,27143310,27563220
skip,27628550,27880080
skip,28141890,29056060
skip,29125860,29265780
skip,29304380,29731260
skip,29792030,30198480
skip,30206180,30725910
skip,30821960,30920790
skip,30940570,31190010
skip,31260820,31415700
skip,32257890,32300440
skip,32685030,34474230
skip,35476390,36037090
skip,36136950,36258950
skip,36403710,37029040
skip,37635250,37761290
skip,37807250,37876600
skip,37890690,37918100
skip,37982170,38125430
skip,38277320,38446150
skip,38992530,39087310
skip,39125250,39284770
skip,39297350,39800420
skip,39810910,40025560
skip,40114200,40335330
skip,40350310,40414290
skip,40427500,40836600
