region_type,starts,ends
subregion,2400000,6000000
silence,5824880,6000000
subregion,13800000,17400000
subregion,18600000,22200000
skip,19831700,21108000
skip,21110970,22056700
silence,22156400,22200000
subregion,26400000,30000000
makeup,35100190,37741630
