region_type,starts,ends
skip,513130,1307290
skip,4077290,5217330
skip,5341710,5415800
silence,5882070,6137750
silence,6157480,11523380
skip,11523380,11688520
skip,12034750,12742280
skip,12855320,13352650
skip,13609120,13777760
skip,14546360,14682630
skip,14693180,15338090
skip,15519550,15626990
skip,15677010,16132550
skip,16460920,16872420
skip,16880250,17381280
skip,17910350,18508760
skip,18519730,19146150
skip,19205980,19349570
skip,20192340,20294650
skip,21336680,21851930
skip,22606690,23230120
skip,23251490,23477660
skip,23843600,27460560
skip,27667210,27787500
silence,28025230,33030640
skip,33311030,33777200
skip,34592850,34844620
skip,35568540,35790950
skip,38205970,38487870
skip,39524650,39811710
