region_type,starts,ends
subregion,1000,3600000
skip,2669160,3592620
subregion,8700000,12300000
skip,8700710,9237320
skip,11089200,12292280
subregion,12300000,15900000
skip,12308690,13179160
skip,13301510,13931350
silence,14984170,15900000
subregion,32400000,36000000
surplus,36000860,37530220
makeup,39904370,43463040
