region_type,starts,ends
skip,1001170,1318750
skip,1322530,1469480
skip,1524480,1755900
skip,6107490,6968390
silence,6968390,8701190
skip,8701190,8714580
skip,12725820,12794660
skip,14977490,15063340
skip,15211010,15604860
skip,15642430,15749690
skip,15789790,15905930
skip,15914610,16063660
skip,16750860,17513570
silence,17513570,19132040
skip,19206590,19383730
skip,20058790,20404530
skip,23102080,23263770
skip,23896860,24461870
skip,24547520,24757200
skip,24868930,25730140
skip,27190200,27493190
skip,29334660,31294920
skip,33179290,33653040
silence,39012930,39365180
