region_type,starts,ends
silence,175070,905190
skip,4143380,5549230
skip,5565050,6064610
silence,6064610,8387380
skip,8387380,8913880
skip,9483010,9843790
skip,12874110,13528930
skip,13917590,14272480
skip,15555120,16432640
silence,16432640,20304240
skip,20304240,20311560
skip,20958620,21215250
skip,21319900,21558390
silence,26802430,27655600
skip,27732400,27909430
skip,27996090,28605720
skip,28611400,29042730
skip,30573550,30787800
skip,31069960,31512850
skip,31540860,31863470
skip,31871380,32408010
skip,32413480,33026760
skip,33224430,33665740
skip,33828740,34030580
skip,36225170,36843480
skip,36912390,37511520
skip,38063450,38578910
skip,38608680,39069280
skip,39101300,39926560
silence,39926560,42118370
skip,42657180,43032640
silence,51874980,52623360
